Darija_Arabe,Anglais
ولاهيلا كانعتادر منك بزاف.,"Honestly, I apologize to you a lot."
واش هاد التران ديال شيكاغو؟,Is this train going to Chicago?
كيفاش غادي نلقا ليموزيني كادي من هنا لهيها؟,How can I find a limousine to take me from here to there?
لا، محليا. قلبت و مالقيتهمش.,"No, locally. I searched and didn’t find them."
فيلم ألوان فيه ربعا عشرين تصويرة، عفاك.,"A color film has twentyfour frames, please."
بغيت شي كوستيم غامق ليا، عفاك.,"I want a dark suit, please."
هاد لمضل يقدر يخدم فحال غصبا.,This umbrella can work like a stick.
بشحال هاد الرحلة؟,How much is this trip?
نقدر نشري بييي من هنا؟,Can I buy a ticket from here?
متافق، ولايني ف بعض لحالات.,"I agree, but in some cases."
خاصني نخلي الباغاج ديالي كولو عند غرفة الامانات؟,Do I need to leave all my luggage at the cloakroom?
واخا تسلفني مصلوح؟,Can you lend me a screwdriver?
بغيت نجرب شي رحلا بليل.,I want to try a night trip.
بغيت شي ديابوزيفيتا ملونين لهاد لاباراي، عفاك.,"I want some colorful phone cases for this device, please."
بشحال حتى سياطل؟,How much for the buckets?
معاش غادي نوصلو ل سيياطل؟,When will we arrive in Seattle?
وريني لباسبور ديال، عفاك.,"Show me your passport, please."
بدل ليا الشومبر، عفاك. فيها شي ريحا ف شكل.,"Change my room, please. It has a strange smell."
فين كاين لمعرض؟,Where is the exhibition?
التمن لعادي، عفاك.,"The regular price, please."
كون هاني. غادي نريزيرفي ليك طابلا مخيرا. سميا؟,Be at ease. I’ll reserve you a great table. Name?
الشومبر ديالي كاطل على واحد الزنقا فيها الصداع بزاف.,My room overlooks a street thats very noisy.
شومبر فيها الدوش، عفاك.,"A room with a shower, please."
كاينا شي بلاصا كايصبنو فيها لحوايج نهار لحد؟,Is there a place where they do laundry on Sundays?
مم، فيك السخانا. ضاراك لمعدا؟,"Hmm, you have a fever. Does your stomach hurt?"
بيخير. كاين مايتشاف.,Good. Theres something to see.
جوج ديال التشيز بورغر، عفاك.,"Two cheeseburgers, please."
إينا طوبيس كايمشي لمييامي؟,Which bus goes to Miami?
ماشي ضاروري نعطي لبوربوار.,Its not necessary to give a tip.
عطيني شي تامبر ديال عشرين سانتيم، عفاك.,"Give me a 20centime stamp, please."
من لأحسن نعلم لبوليس؟,Is it better to inform the police?
بغيت لكوفيتير.,I want jam.
واسيلا غادي نمشي ب لليموزين.,"Waseela, I will go by limousine."
بغيت شلاضا خضرا.,I want a green salad.
تقضر تلقاه ف لكارنيجي.,You can find it at the Carnegie.
راني ماشي معتمد.,I am not reliable.
معاياش كاتفيق ف الصباح؟,Who wakes you up in the morning?
بغيت نمشي لوبيرا، فين كاينا؟,"I want to go to the opera, where is it?"
واخا توريني الطريق ديال أقرب فارماسين، لله يخليك؟,"Can you show me the way to the nearest pharmacy, please?"
خاصني نبدل الشومبر إيلا بغيت نزيد نبقا مازال؟,Do I need to change the room if I want to stay longer?
ريزيرفاسيو لغدا، عفاك.,"Reservation for lunch, please."
مكايحملش يغسل لماعن.,He hates washing the dishes.
خاصو يرجع ليوم معا الربعاونص هاد لعشيا.,He needs to come back today at halfpast four in the afternoon.
شحال من مرا كاينين الرحلات؟,How many times are there trips?
جيبليا ل كيتشاب، عفاك.,"Bring me the ketchup, please."
وقتاش يقدرو يوصلوني معا السيرفيس لعادي؟,When can they connect me to the regular service?
كتب ليا عفاك شي ديكلاراسيو ديال لباغج ديالي للي ضاع ليا.,Please write me a declaration for my lost luggage.
بغيت تلاتا د لبتايص ل غدا ل المشا فوق السطح السخون .,I want three pizzas for tomorrow for the gathering on the hot rooftop.
بغيت نبات ف لوطول عندكم غدا. واخا تخلي ليا شي شومبرعاديا؟,I want to stay at your hotel tomorrow. Can you leave me a simple room?
بعيد لا مشيت على رجليا؟,Is it far if I go on foot?
بخا تبدلو ليا ب ما كبر منو؟,Do you want to replace it with a bigger one for me?
تلاتا دلوراق ديال ميا، جوج ديال خمسين و خمسا ديال عشرين، لله يخليك.,"Three 100dirham bills, two 50dirham bills, and five 20dirham bills, please."
فاياش مختصين؟,What are you specialized in?
لا، ابدا.,"No, never."
بغيت نخلي لباغاج ديالي.,I want to leave my luggage.
واخا تسيني ف لفاكتورا و الروسيديال لخلاص بلا كارط، عفاك؟,"Can you sign the invoice and proceed with the payment without a card, please?"
عافاك صرف ليا هاد الدولار لجنيهات.,Please exchange this dollar for pounds.
شحا د لوقت ب الطاكسي لوطيل بارك؟,How long is the taxi ride to the hotel park?
بغيت ناخد رونديفو عند واحد الطبيب.,I want to make an appointment with a doctor.
ملي كنت كانهدر ف التيليفون شفرو ليا بزطامي.,"While I was talking on the phone, my wallet was stolen."
مزيان هادشي. غادي يعاون شحال من شاريكا.,Thats good. It will help many companies.
سميتي صاطو. عاد عيطت. بغيت نتقيد، إيلا جات على خاطرك.,"My name is Sato. I just called. I want to register, if thats okay with you."
بغيت شي ماسك د لوجه.,I want a face mask.
واخا نخلي الطوموبيل ف ماطار لا غوارديا؟,Can I leave the car at the airport parking lot?
بطابيعت لحال لا. غي ندخل ل الدارغادي نعلمك. بسلاما، آ سي ناغانو.,"Of course not. Once I get home, Ill let you know. Goodbye, Mr. Nagano."
وحلت وسط الزحام ماكانضنش غادي نوصل ف الوقت.,Im stuck in traffic; I dont think Ill make it on time.
عندكم شي طابلا حدا الشرجم ل هاد ليلا.,Do you have a table by the window for tonight?
مساليين؟,Are you free?
ماشي مشكل لا جيت عندك؟,Is it okay if I come to you?
كانو عندي بزاف.,I had a lot.
ماكانضنش غادي يجيني.,I dont think he will come.
بغيت نصيفط هاد لبرييا الصغير لليابان ب البريد البري اولا البحري.,I want to send this small letter to Japan by air mail or sea mail.
بلاصا على برا، عفاك.,"A place outside, please."
بغيت شي بلاصا عليسر.,I want a place on the left.
هاد لمدينا كولها خضورا.,This city is all green.
زيرو تلاتا تلاتا تمنيا واحد ربعا ربعا تلاتا ربعا خمسا.,Zero three three eight one four four three four five.
واقيلا هداك محتاج تحسين.,Maybe that needs improvement.
نلبس حوايجي؟,Should I wear my clothes?
الشييانتي، عفاك.,"The bill, please."
كان كايسرع.,He was speeding.
بغيت عاصير لعنب.,I want grape juice.
فين كاين لميطرو؟,Where is the metro?
واخا تكفف ليا سروالي، عفاك؟,"Can you hem my pants, please?"
بشحال دايرا شومبر ديال تلاتا د الناس بلا دوش؟,How much is a room for three people without a shower?
معاك السي طاناكا من الشومبر ألف وميتين وتسعود. بغيت شي فاطي ديال الحمام نقيين.,This is Mr. Tanaka from room 1209. I would like some clean bath towels.
عندك ماصغر؟,Do you have a lighter?
جمع بشوييا سنانك، عفاك.,"Gather your teeth slowly, please."
فين نقدر نلقا لاسبيرين؟,Where can I find aspirin?
غادي تخلص تكاليف الإلغاء.,You will pay the cancellation fees.
واخا تاخد ليا جوج ديال لوراق؟,Can you take two papers for me?
أرخص تمن عندكم؟,Whats your lowest price?
عندك ستا دولار و ربعين سانتيم.,You have six dollars and forty cents.
واخا نشوف اللائحا، عفاك؟,"Can I see the list, please?"
عطيني كارطا ديال سيمانا.,Give me a weekly card.
شحال فيهم هاد لباغاج؟,How much do these bags weigh?
ماشي هادشي لي غلتي من قبل.,This is not what you said before.
فين نقدر نلقا التيليبوتيك؟,Where can I find the teleboutique?
رحلا ديا الغوص الحر، عفاك.,"Freediving trips, please."
هاهوا صاحبي.,"Here he is, my friend."
اه، كانحلو لليل كولو.,"Oh, we stay up all night."
شمن ليسونس كاين؟ سوبير، عادي ولا صوبلومب؟,"What type of license is there? Superior, standard, or provisional?"
مرحبا بيكم كاملين هنايا، بمناسابت الإجتماع السنوي التالت ديال ألف وتسعميا وواحد وتسعين.,"Welcome everyone here, on the occasion of the third annual meeting of 1991."
شكوناهوما لممتلين؟,Who are the actors?
شحال غادي تجينا؟,How much will it cost us?
سميتي إيليزابيط.,My name is Elizabeth.
كاينشي بلاصا زوينا نقدر نشوفها ف تالتا د السوايع؟,Is there a nice place I can visit at three oclock?
